t,x
0.067,0.848
0.083,-1.54
0.1,-3.966
0.117,-6.154
0.133,-8.464
0.15,-10.729
0.167,-12.864
0.184,-15.081
0.2,-17.131
0.217,-19.071
0.234,-20.834
0.25,-22.515
0.267,-24.128
0.284,-25.61
0.3,-26.961
0.317,-28.207
0.334,-29.237
0.35,-30.073
0.367,-30.679
0.384,-31.121
0.4,-31.415
0.417,-31.538
0.434,-31.491
0.45,-31.314
0.467,-30.886
0.484,-30.317
0.501,-29.549
0.517,-28.569
0.534,-27.402
0.551,-26.087
0.567,-24.602
0.584,-22.972
0.601,-21.28
0.617,-19.447
0.634,-17.411
0.651,-15.32
0.667,-13.152
0.684,-10.899
0.701,-8.618
0.717,-6.24
0.734,-3.867
0.751,-1.381
0.767,1.048
0.784,3.511
0.801,6.047
0.817,8.508
0.834,10.991
0.851,13.219
0.868,15.2
0.884,17.136
0.901,19.002
0.918,20.875
0.934,22.574
0.951,24.13
0.968,25.586
0.984,26.915
1.001,28.311
1.018,29.057
1.034,30.105
1.051,30.901
1.068,31.507
1.084,31.93
1.101,32.049
1.118,32.257
1.134,32.047
1.151,31.806
1.168,31.342
1.185,30.764
1.201,29.922
1.218,28.957
1.235,27.81
1.251,26.448
1.268,24.95
1.285,23.391
1.301,21.665
1.318,19.873
1.335,17.997
1.351,16.003
1.368,14.387
1.385,11.71
1.401,9.282
1.418,7.018
1.435,4.742
1.451,2.24
1.468,0
1.485,-2.56
1.502,-4.927
1.518,-7.179
1.535,-9.504
1.552,-11.912
1.568,-13.941
1.585,-16.159
1.602,-18.144
1.618,-20.143
1.635,-21.671
1.652,-23.194
1.668,-24.757
1.685,-26.19
1.702,-27.453
1.718,-28.552
1.735,-29.48
1.752,-30.295
1.768,-30.837
1.785,-31.176
1.802,-31.28
1.818,-31.242
1.835,-31.112
1.852,-30.802
1.869,-30.264
1.885,-29.558
1.902,-28.671
1.919,-27.579
1.935,-26.319
1.952,-24.945
1.969,-23.392
1.985,-21.768
2.002,-19.955
2.019,-18.15
2.035,-16.114
2.052,-14.084
2.069,-11.898
2.085,-9.691
2.102,-7.421
2.119,-5.127
2.135,-2.754
2.152,-0.403
2.169,1.968
2.186,4.381
2.202,6.7
2.219,8.964
2.236,11.378
2.252,13.458
2.269,15.54
2.286,17.261
2.302,18.977
2.319,20.73
2.336,22.127
2.352,23.639
2.369,25.117
2.386,26.04
2.402,27.201
2.419,28.274
2.436,28.946
2.452,29.56
2.469,30.199
2.486,30.504
2.503,30.803
2.519,30.739
2.536,30.571
2.553,30.205
2.569,29.775
2.586,29.047
2.603,28.239
2.619,27.337
2.636,26.262
2.653,24.98
2.669,23.544
2.686,22.041
2.703,20.364
2.719,18.621
2.736,16.854
2.753,14.794
2.769,12.742
2.786,10.752
2.803,8.579
2.819,6.295
2.836,4.037
2.853,1.628
2.87,-0.791
2.886,-3.023
2.903,-5.325
2.92,-7.703
2.936,-10.008
2.953,-12.225
2.97,-14.2
2.986,-16.29
